2016-08-29,253.0,253.95,251.05,252.8,251.97142857142856,0.49117466730426285,46.10778443113778,-0.8000000000000114,-0.3499999999999943,1,1,1,1,1
2016-08-30,253.7,257.9,253.05,257.3,252.66071428571428,0.6335318742338598,55.44554455445548,0.8999999999999773,0.6999999999999886,1,1,1,1,1
2016-08-31,258.3,261.5,256.4,260.05,253.62857142857143,0.7954338483323633,64.73317865429239,1.0,4.600000000000023,1,1,1,1,1
2016-09-01,261.0,263.0,259.1,261.0,254.29642857142858,0.8683009959433198,71.12171837708829,0.9499999999999886,2.6999999999999886,1,1,1,1,0
2016-09-02,262.0,263.7,260.25,262.9,254.925,0.924323507039601,77.59815242494227,1.0,1.0,0,0,1,0,0
2016-09-06,263.0,265.9,261.1,262.6,255.46071428571432,0.9421999223419951,72.60638297872357,0.10000000000002274,1.0,1,1,0,0,0
2016-09-07,264.0,264.95,262.0,262.8,256.1107142857143,0.9376912286534834,84.96932515337441,1.3999999999999773,1.0,1,0,0,0,0
2016-09-08,263.5,265.55,262.7,264.9,257.0214285714286,0.9445759939738354,92.46376811594224,0.6999999999999886,-0.5,0,0,0,0,0
2016-09-09,263.0,264.45,257.05,258.3,257.54642857142863,0.8399745108425652,61.74334140435849,-1.8999999999999773,-0.5,0,0,0,1,1
2016-09-12,255.95,256.7,251.75,252.25,257.41428571428577,0.6026884236757157,47.058823529411725,-2.3500000000000227,-7.050000000000011,0,1,1,1,1
2016-09-14,251.0,253.1,249.55,251.85,257.4464285714286,0.3766027768289897,48.15533980582519,-1.25,-4.949999999999989,1,1,1,1,1
2016-09-15,252.5,257.9,252.5,255.9,257.8500000000001,0.20303009467589425,47.23320158102764,0.6500000000000057,1.5,1,1,1,0,0
2016-09-16,256.0,262.2,255.4,260.35,258.3428571428572,0.14181722028299593,50.55555555555558,0.09999999999999432,3.5,0,0,0,0,0
2016-09-19,261.5,262.6,258.25,258.85,258.7035714285715,0.007885526181052864,46.098003629764094,1.1499999999999773,5.5,0,0,0,0,0
2016-09-20,259.2,259.25,255.25,256.95,259.00000000000006,-0.2985564243160861,39.201451905626136,0.3499999999999659,-2.3000000000000114,0,0,0,0,0
2016-09-21,256.7,258.8,253.0,253.65,258.73928571428576,-0.5041830468748872,35.35188216039276,-0.25,-2.5,1,0,0,0,0
2016-09-22,255.45,257.2,253.75,255.25,258.3964285714286,-0.565237765708353,38.184663536776185,1.799999999999983,-1.25,0,0,0,0,0
2016-09-23,255.0,257.0,251.8,253.45,257.85714285714283,-0.5707528163406506,31.911532385466074,-0.25,-0.44999999999998863,0,0,0,0,0
2016-09-26,253.0,253.25,247.5,248.05,256.7964285714286,-0.285643551752317,33.169129720853874,-0.44999999999998863,-2.0,0,0,0,0,0
2016-09-27,248.65,249.25,245.0,245.85,255.6,0.23931731877372905,37.96992481203008,0.5999999999999943,-4.349999999999994,1,0,0,0,0
2016-09-28,246.3,249.4,245.5,246.95,254.46785714285713,0.6064892291753468,41.02564102564102,0.45000000000001705,-2.3499999999999943,0,0,0,0,0
2016-09-29,248.1,249.3,241.0,245.7,253.09642857142853,0.8305024905992354,29.18367346938774,1.1500000000000057,1.799999999999983,0,0,0,0,0
2016-09-30,245.65,246.95,240.5,241.35,251.88571428571422,0.9005698949317166,11.065573770491753,-0.04999999999998295,-2.4499999999999886,1,0,0,0,0
2016-10-03,244.2,244.2,241.55,242.3,251.17499999999995,0.9128527100338447,15.303983228511541,2.8499999999999943,-1.450000000000017,0,0,0,0,0
2016-10-04,243.0,243.95,240.35,241.2,250.41428571428565,0.9256241780737724,15.83514099783082,0.6999999999999886,-1.1999999999999886,0,0,0,0,0
2016-10-05,241.8,243.25,239.2,240.2,249.29285714285706,0.9298643744466979,17.59036144578313,0.6000000000000227,-1.1999999999999886,0,0,0,0,0
2016-10-06,242.0,242.0,235.65,237.4,247.65357142857138,0.9539906030828545,9.339407744874762,1.8000000000000114,0.19999999999998863,1,1,1,1,1
2016-10-07,237.9,240.25,236.75,238.95,246.2321428571428,0.9521793376658552,16.589861751152057,0.5,-4.099999999999994,1,0,1,1,1
2016-10-10,242.0,242.6,239.55,240.1,245.02857142857138,0.9268438175862487,27.220630372492806,3.0500000000000114,4.099999999999994,0,0,1,1,0
2016-10-13,240.1,241.45,236.95,238.95,243.97857142857134,0.9036300832858644,28.963414634146332,0.0,-1.9000000000000057,1,1,1,1,1
2016-10-14,239.0,240.5,238.05,239.9,242.88214285714278,0.8722413082298391,28.307692307692392,0.05000000000001137,-1.0999999999999943,1,1,0,0,1
2016-10-17,239.9,241.75,238.5,240.6,241.96428571428564,0.8266753983282576,33.75796178343953,0.0,0.9000000000000057,1,0,0,0,1
2016-10-18,241.0,246.55,240.3,245.95,241.81428571428563,0.5054723133169624,63.77245508982033,0.4000000000000057,1.0999999999999943,0,0,0,0,0
2016-10-19,245.65,245.65,238.4,239.45,241.35714285714275,0.43998567735598704,43.59550561797748,-0.29999999999998295,4.650000000000006,0,1,1,0,0
2016-10-20,241.0,241.35,238.1,239.35,240.81428571428563,0.2910948000512748,45.64705882352942,1.5500000000000114,-4.650000000000006,1,1,0,0,1
2016-10-21,239.0,241.15,238.75,240.15,240.41785714285706,0.048732995005043606,49.88123515439434,-0.3499999999999943,-2.0,1,0,0,1,1
2016-10-24,241.0,242.0,239.7,241.35,240.41785714285706,-0.0559997734548179,60.15424164524419,0.8499999999999943,2.0,0,0,1,1,1
2016-10-25,242.9,242.9,238.15,238.75,240.16428571428563,-0.15372765409413133,49.512195121951244,1.5500000000000114,1.9000000000000057,0,1,1,1,1
